Indicator,Description,APSC.101,APSC.102,APSC.103,APSC.111,APSC.112,APSC.131,APSC.132,APSC.142,APSC.151,APSC.161,APSC.171,APSC.172,APSC.174,T,U,A
APSC-1-KB-1,ConstructsåÊmathematical descriptions or expressions to model a real-world problem.,,,,,,TA,,,,,TA,,,2,0,2
APSC-1-KB-2,Selects and describes appropriate tools to solve mathematical problems that arise from modeling a real-world problem.,,,,,,TA,,,,,TA,,,2,0,2
APSC-1-KB-3,Uses solution to mathematical problems to inform the real-world problem that gave rise to it.,,,,,,,,,,,TA,,,1,0,1
APSC-1-KB-4,"Concept inventory scores (e.g. FCI, CCI) or scores on topics as indicator of conceptual understanding of basic science.",,,,TA,,,,,,,,,,1,0,1
APSC-1-PA-1,"Identifies known and unknown information, uncertainties, and biases when presented a complex ill-structured problem.",,,,,,,,,TA,,,,,1,0,1
APSC-1-PA-2,ConstructsåÊprocess for solving problem including justified approximations and assumptions.,TA,,,,,TA,,,TA,,,,,3,0,3
APSC-1-PA-3,Applies critical and creative thinking principles to solve contextualized problems.,,,,,,,,,,,,,,0,0,0
APSC-1-PA-4,Creates and applies appropriate quantitative model and analysis to solve problems.,TA,TA,,,,,,,TA,,,,,3,0,3
APSC-1-PA-5,Applies numerical modeling tool toåÊconstruct model used for solving complex problems.,TA,,,,,,,,,,,,,1,0,1
APSC-1-PA-6,Identifies key questions to be asked in resolving a problem.,,,,,,,,,,,,,,0,0,0
APSC-1-PA-7,"Evaluates validity of results and model for error, uncertainty.",TA,TA,,,,,,,,,,,,2,0,2
APSC-1-PA-8,"Draws conclusions supported by evidence, with explicit reference to context in which they are true.",TA,TA,,,,,,,,,,,,2,0,2
APSC-1-IN-1,Constructs appropriate hypothesis and select experimental methods.,,TA,,,,,,,,,,,,1,0,1
APSC-1-IN-2,Use and document appropriate measurement techniques to collect data and information.,,TA,,,,,,,,,,,,1,0,1
APSC-1-IN-3,Apply problem solving approaches to troubleshoot issues.,,TA,,,,,,,,,,,,1,0,1
APSC-1-IN-4,Use appropriate tools to organize and analyze data and information.,,TA,,,,,,,,,,,,1,0,1
APSC-1-IN-5,"Describe nature and possible causes of uncertainty in analysis, interpretation, and measurement.",,TA,,,,,,,,,,,,1,0,1
APSC-1-IN-6,"Synthesizes information from experimentation, investigation, and literature to reach substantiated conculsions.",,TA,,,,,,,,,,,,1,0,1
APSC-1-IN-7,Describe and demonstrate safety protocol in laboratory environment.,,TA,,,,,,,,,,,,1,0,1
APSC-1-DE-1,"Follows a general design process to design system, component, or process to solve open-ended complex problem.",,,TA,,,,,,,TA,,,,2,0,2
APSC-1-DE-2,"Accurately defines a problem, including constraints, goals, questions, stakeholders, and client needs.",TA,,TA,,,,,,,,,,,2,0,2
APSC-1-DE-3,TBD,,,,,,,,,,,,,,0,0,0
APSC-1-DE-4,Produces a variety of potential design solutions suited to meet functional specifications based on stakeholder needs.,TA,,TA,,,,,,,,,,,2,0,2
APSC-1-DE-5,Performs systematic evaluations of the degree to which several design concept options meet project criteria.,TA,,TA,,,,,,,,,,,2,0,2
APSC-1-DE-6,Compares the design solution against the problem objective.,,,TA,,,,,,,,,,,1,0,1
APSC-1-ET-1,Selects appropriate measurement devices or techniques to accomplish a task.,,,,,,,,,,,,,,0,0,0
APSC-1-ET-2,"Follows protocols when using techniques, skills and tools.",,TA,,,,,,,,TA,,,,2,0,2
APSC-1-ET-3,"Demonstrates correct use of testing apparatus, databases and models.",,,,,,,,,,TA,,,,1,0,1
APSC-1-ET-4,TBD,,,,,,,,,,,,,,0,0,0
APSC-1-TW-1,Describes own temperament and analyzes impact of own temperament on group work.,,,,,,,,,,,,,,0,0,0
APSC-1-TW-2,Applies principles of conflict management to resolve team issues.,,,TA,,,,,,,,,,,1,0,1
APSC-1-TW-3,"Exercises initiative and participates equitably, including participating actively in meetings.",,,TA,,,,,,,,,,,1,0,1
APSC-1-TW-4,TBD,,,,,,,,,,,,,,0,0,0
APSC-1-TW-5,"Establishes team contract around behaviour, expectations, and timelines.",TA,TA,TA,,,,,,,,,,,3,0,3
APSC-1-CO-1,TBD,,,,,,,,,,,,,,0,0,0
APSC-1-CO-2,Summarizes and paraphrases written work accurately.,TA,TA,TA,,,,,,,,,,,3,0,3
APSC-1-CO-3,Effectively communicates technical information following a prescribed format and using standard grammar and mechanics.,TA,TA,TA,,,,,,,,,,,3,0,3
APSC-1-CO-4,Delivers clear and organized formal presentation following established guidelines.,TA,TA,TA,,,,,,,,,,,3,0,3
APSC-1-CO-5,TBD,,,,,,,,,,,,,,0,0,0
APSC-1-CO-6,"ConstructsåÊeffective figures, tables, and drawings employing standard conventions to compliment text.",TA,TA,TA,,,,,,,,,,,3,0,3
APSC-1-PR-1,Describes role of protection of the public and public interest in decision making.,,,,,,,,,,,,,,0,0,0
APSC-1-PR-2,"Demonstrates punctuality, responsibility and appropriate communication etiquette.",,,TA,,,,,,,,,,,1,0,1
APSC-1-PR-3,Applies professional codes of ethics and engineering standards to engineering problems.,TA,,,,,,,,,,,,,1,0,1
APSC-1-PR-4,TBD,,,,,,,,,,,,,,0,0,0
APSC-1-IM-1,Describes relationship between human activity and earth systems. (APSC151),,,,,,,,,TA,,,,,1,0,1
APSC-1-IM-2,Describes management techniques for sustainable development. (APSC151),,,,,,,,,TA,,,,,1,0,1
APSC-1-IM-3,"Devises solutions for engineering problems that incorporate technical, social, environmental, and legal factors.",,,TA,,,,,,TA,,,,,2,0,2
APSC-1-EE-1,Demonstrates behaviour congruent with academic integrity expectations of university and faculty.,,,,,,,,,,,,,,0,0,0
APSC-1-EE-2,Recognizes and resolves ethical dilemmas based on ethical principles and relevant code of ethics (focus on bribery and broad equity).,TA,,,,,,,,,,,,,1,0,1
APSC-1-EE-3,"Describes ethical issues and impact on stakeholders (individual, the employer, public, minority groups including aboriginal groups, etc.).",TA,,,,,,,,,,,,,1,0,1
APSC-1-EE-4,Describes consequences of deviating from professional codes of conduct and university code of conduct.,,,,,,,,,,,,,,0,0,0
APSC-1-EC-1,Plans and efficiently manages time and money.,,,TA,,,,,,,,,,,1,0,1
APSC-1-EC-2,"Establishes appropriate project scope, after consultation with client, based on available resources.",,,TA,,,,,,,,,,,1,0,1
APSC-1-EC-3,Plan project with clear milestones and delegation.,,,TA,,,,,,,,,,,1,0,1
APSC-1-EC-4,Describes economic feasibility of project using time value of money and defensible financial costs and returns,TA,,TA,,,,,,,,,,,2,0,2
APSC-1-EC-5,TBD,,,,,,,,,,,,,,0,0,0
APSC-1-LL-1,Identifies the needed information resulting from an assigned project using a recommended structure.,,,,,,,,,,,,,,0,0,0
APSC-1-LL-2,Identifies appropriate information sources to meet the information need using a prescribed methodology from prescribed sources (e.g. Library Catalogue and a multidisciplinary database).,TA,,TA,,,,,,,,,,,2,0,2
APSC-1-LL-3,"Evaluates information using simple prescribed criteria such as authority, currency, and objectivity.",,TA,TA,,,,,,,,,,,2,0,2
APSC-1-LL-4,Organises and manages information using a simple prescribed structure and format.,,,,,,,,,,,,,,0,0,0
APSC-1-LL-5,TBD,,,,,,,,,,,,,,0,0,0
APSC-1-LL-6,"Reviews, reflects on and makes improvements on individual learning performance.",TA,,,,,,,,,,,,,1,0,1
APSC-1-LL-7,Awareness of different learning approaches.,,,,,,,,,,,,,,0,0,0
Course Totals,T,19,17,20,1,0,3,0,0,6,3,3,0,0,,,
,U,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
,A,19,17,20,1,0,3,0,0,6,3,3,0,0,Program Totals,,
,,,,,,,,,,,,,,,T,U,A
,,,,,,,,,,,,,,,65,0,65
